"Leaf.bag.number","time.point","weight_start","stream","treatment","replicate","number.days","dry_weight_rest","ashes_rest","dry_weight_OMD","ashes_OMD","dry_weight_conidia","ashes_conidia","dry_weight_ergosterol","disks_OMD","disks_conidia","disks_total"
1,"April",6.967,"Hainbach","forest",3,23,5903.16,1625.16,25.05,3.16,16.02,1.09,NA,7,5,33
3,"April",7.046,"Russbach","vine",5,23,5202.68,629.32,19.9,1.18,13.61,1.01,NA,7,5,33
6,"April",6.971,"Otterbach","forest",6,23,5505.3,977.32,28.81,2.23,17.73,1.45,NA,7,5,33
7,"April",6.952,"Otterbach","vine",7,23,5486,1195.08,23.05,2.63,13.97,1.8,NA,7,5,33
8,"April",7.022,"Kropsbach","transplant",3,23,4855.98,1038.97,20.5,3,20.66,2.81,NA,7,5,33
10,"April",6.997,"Russbach","transplant",4,23,6288.5,1949.09,24.91,3.24,18.45,2.29,NA,7,5,33
11,"April",7.001,"Dierbach","vine",4,23,5145.8,889.65,20.44,2.18,15.16,1.73,NA,7,5,33
12,"April",6.998,"Otterbach","transplant",7,23,3227.32,880.29,24.3,4.29,16.19,2.17,NA,7,5,33
13,"April",6.961,"Kropsbach","vine",2,23,5352.01,465.15,13.15,1.5,13.41,1.24,NA,5,5,31
14,"April",6.961,"Isenach","vine",1,23,4718.4,526.44,20.22,1.62,12.86,0.95,NA,7,5,33
15,"April",NA,"Dierbach","vine",5,23,5481.15,1298.72,28.86,5.78,16.67,3.02,NA,7,5,33
17,"April",6.985,"Triefenbach","vine",4,23,5270,1123.8,23.91,3.52,15.71,1.52,NA,7,5,33
18,"April",7.001,"Russbach","forest",7,23,18559.22,13879.24,28.27,9.12,18.79,2.88,NA,7,5,33
20,"April",6.985,"Dierbach","vine",1,23,4722.75,589.59,31.53,3.27,25.24,2.9,NA,7,5,33
21,"April",7.035,"Modenbach","forest",6,23,5025,814.45,25.5,1.87,18.19,1.36,NA,7,5,33
22,"April",7.04,"Triefenbach","transplant",3,23,6140.9,1849.81,25.37,3.32,21.78,4.56,NA,7,5,33
23,"April",7.016,"Hainbach","vine",5,23,4441.7,547.24,23.32,NA,16.22,1.12,NA,7,5,33
24,"April",7.006,"Triefenbach","transplant",5,23,6329.12,2026.78,22.13,4.23,13.91,1.69,NA,7,5,33
27,"April",7.031,"Dierbach","transplant",3,23,5082.65,964.05,23.08,3.13,16.01,2.47,NA,7,5,33
30,"April",6.995,"Modenbach","vine",1,23,8111.17,2141.09,72.07,23.39,22.49,8.1,NA,15,5,41
34,"April",7.015,"Otterbach","forest",1,23,6181.54,1589.26,24.07,3.3,15.31,1.12,NA,7,5,34
37,"April",6.967,"Otterbach","vine",3,23,5267,855.28,23.15,2.15,14.86,1.46,NA,7,5,33
38,"April",6.955,"Hainbach","transplant",2,23,6457.97,2062.69,30,10.44,14.84,3.24,NA,7,5,33
40,"April",7.011,"Russbach","vine",7,23,5997.45,1582.35,34.34,14.34,14.36,1.59,NA,7,5,33
41,"April",7.006,"Isenach","forest",1,23,5705.84,1357.02,26.03,3.87,15.41,2.53,NA,7,5,33
44,"April",6.955,"Isenach","transplant",2,23,4366.9,555.22,23.8,2.91,14.77,1.08,NA,7,5,33
46,"April",6.971,"Hainbach","transplant",7,23,5753.55,1310.68,25.04,5.42,14.41,1.39,NA,7,5,33
47,"April",6.984,"Russbach","transplant",3,23,5266,899.12,24.99,2.22,16.41,1.83,NA,7,5,33
48,"April",7.027,"Triefenbach","forest",3,23,5720.4,1423.08,31.63,NA,15.61,3.44,NA,7,5,33
49,"April",6.984,"Isenach","vine",3,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA
50,"April",6.99,"Otterbach","vine",1,23,4823.91,694,24.14,1.03,16.41,1.8,NA,7,5,33
51,"April",6.975,"Modenbach","forest",1,23,5445.74,1451.31,24.64,4.56,16.6,1.19,NA,7,5,33
52,"April",6.976,"Dierbach","transplant",7,23,7584.22,2045.83,23.67,5.27,13.43,1.6,NA,7,5,33
53,"April",NA,"Otterbach","transplant",1,23,4888.3,887.78,33.36,10.75,16,2.35,NA,7,5,33
54,"April",7.041,"Isenach","vine",2,23,5176,826.22,22.53,2.97,14.97,1.4,NA,7,5,33
55,"April",6.971,"Hainbach","forest",2,23,5532.75,1228.25,23.87,2.84,16.8,1.54,NA,7,5,33
56,"April",6.971,"Hainbach","vine",1,23,5952.71,1479.7,22.29,2.85,16.39,1.93,NA,7,5,33
57,"April",6.963,"Kaiserbach","vine",6,23,5406.1,1117.58,31.16,5.67,21.83,3.12,NA,7,5,33
59,"April",7.029,"Isenach","forest",6,23,5608.2,989.64,28.53,2.31,16.87,0.74,NA,7,5,33
60,"April",6.972,"Isenach","forest",4,23,7341,2679.72,24.16,4.57,13.63,1.27,NA,7,5,33
62,"April",7.002,"Kropsbach","forest",1,23,5897.25,1587.93,25.99,3.05,17.24,1.65,NA,7,5,33
65,"April",7.033,"Otterbach","vine",6,23,5088.39,756.7,25.4,2.43,17.52,1.86,NA,7,5,33
66,"April",6.951,"Klingbach","forest",3,23,4807,878.2,22.1,2.96,18.09,3.24,NA,7,5,33
67,"April",7.004,"Russbach","forest",6,23,9109.97,4425.58,32.79,11.85,16.94,3.77,NA,7,5,33
68,"April",7.004,"Dierbach","transplant",2,23,5412.74,1212.92,28.77,5.24,17.11,2.34,NA,7,5,33
69,"April",6.992,"Dierbach","transplant",4,23,NA,NA,30.12,5.88,19.58,3.48,NA,7,5,33
72,"April",7.03,"Kaiserbach","forest",7,23,5205.27,927.6,29.83,6.07,18.84,3.22,NA,7,5,33
73,"April",7.014,"Russbach","transplant",6,23,NA,NA,NA,NA,NA,NA,NA,0,0,0
74,"April",6.964,"Kropsbach","transplant",5,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA
75,"April",6.996,"Russbach","vine",4,23,5734.63,1493.8,43.41,16.98,20.02,1.52,NA,7,5,33
76,"April",7.033,"Kaiserbach","forest",2,23,4816.49,461.12,25.22,1.37,15.05,1.13,NA,7,5,33
77,"April",7.024,"Modenbach","transplant",5,23,5646,1666.26,29.94,10.21,12.75,1.32,NA,7,5,33
78,"April",7.046,"Kaiserbach","transplant",2,23,5532.25,1335.53,33.93,9.1,17.99,4.03,NA,7,5,33
79,"April",7.006,"Dierbach","forest",2,23,NA,NA,34.48,11.92,17.43,4.43,NA,7,5,33
80,"April",7.01,"Modenbach","forest",7,23,5877.9,1298.51,23.63,2.17,17.42,1.03,NA,7,5,33
81,"April",7,"Triefenbach","forest",5,23,4469.7,512.21,23.75,1.51,15.23,0.69,NA,7,5,33
82,"April",7.045,"Kropsbach","vine",1,23,NA,NA,NA,NA,12.4,1.69,NA,0,5,18
83,"April",7.03,"Klingbach","transplant",4,23,4874,852.88,22.87,1.53,15.51,1.17,NA,7,5,33
85,"April",7.015,"Triefenbach","vine",3,23,4961.38,802.24,24.58,3.64,14.4,1.37,NA,7,5,33
86,"April",7.025,"Dierbach","forest",1,23,5746.96,1331.11,25.32,3.42,16.71,1.12,NA,7,5,33
87,"April",6.976,"Hainbach","vine",7,23,5097.29,627.16,31.61,6.55,21.46,4.3,NA,7,5,33
88,"April",6.992,"Isenach","transplant",6,23,5040.55,1140.14,33.87,12.12,14.61,1.34,NA,7,5,33
90,"April",6.995,"Modenbach","forest",3,23,5817.56,1402.31,35.92,11.04,15.29,1.34,NA,7,5,33
92,"April",6.991,"Otterbach","forest",4,23,5335.94,899.7,27.29,2.7,16.17,1.26,NA,7,5,33
93,"April",7.016,"Russbach","forest",4,23,8160.2,4731.4,29.21,5.91,19.44,3.24,NA,7,5,33
94,"April",6.976,"Kaiserbach","vine",7,23,6712.2,2255.26,36.71,15.1,17.93,4.04,NA,7,5,33
96,"April",7.033,"Klingbach","vine",6,23,5452.13,920.66,23.07,1.34,11.96,0.84,NA,7,5,33
97,"April",6.961,"Isenach","transplant",7,23,5059.14,981.45,23.66,4.39,16.96,4.63,NA,7,5,33
98,"April",7.043,"Russbach","forest",1,23,5427.98,874.07,22.76,3.09,16.88,1.3,NA,7,5,34
99,"April",7.016,"Klingbach","vine",1,23,6194.81,1760.09,18.68,1.03,17.84,1.01,NA,7,5,33
100,"April",6.966,"Russbach","transplant",2,23,7646,3042.4,16.91,1.42,17.5,3.2,NA,7,5,33
102,"April",6.955,"Triefenbach","transplant",4,23,6245.2,1900.04,67.05,16.81,17.25,2.75,NA,15,5,41
103,"April",6.995,"Kropsbach","transplant",4,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA
104,"April",NA,"Otterbach","forest",5,23,5234.72,891.92,33.24,8.05,19.07,1.69,NA,7,5,33
105,"April",6.956,"Hainbach","transplant",5,23,4553,486.2,21.42,1.93,12.94,0.86,NA,7,5,33
106,"April",7.026,"Modenbach","forest",2,23,4990.6,652.76,23.82,2,15.46,0.89,NA,7,5,33
108,"April",NA,"Isenach","transplant",3,23,4909.32,902.49,19.67,1.73,10.1,0.9,NA,7,5,33
109,"April",7.023,"Kaiserbach","vine",2,23,5144.13,921.11,30.71,4.54,17.03,3.35,NA,7,5,33
110,"April",6.955,"Dierbach","forest",7,23,5408.37,739.86,20.68,1.29,15.78,0.93,NA,7,5,33
111,"April",7.025,"Modenbach","transplant",4,23,4998.25,945.06,21.31,3.22,13.39,1.25,NA,7,5,33
