leaf_bag_number;time_point;type;weight_60;weight_500;weight_start_g
241;April;fine;6698.4;321.21;7.016
39;April;fine;6122.9;297.54;6.971
172;April;fine;6491.1;293.34;7.011
133;April;fine;6476.3;328.13;7.006
101;April;fine;4696.1;296.64;7.034
91;April;fine;6490.5;304.91;7.035
26;April;fine;6590.6;374.71;6.993
207;April;fine;6062.7;321.46;6.966
202;April;fine;6271.6;271.91;7.006
33;April;fine;6386;298.6;6.996
28;April;fine;6450.7;335;7.031
226;August;fine;6605.91;315.03;7.044
183;August;fine;6626.92;323.85;6.959
95;August;fine;6621.79;343.36;7.037
571;August;fine;6561.09;331.36;6.96
10;August;fine;6506.47;351.82;6.99
119;August;fine;6579.11;329.31;7.013
181;August;fine;6565.69;337.97;7.05
72;August;fine;6460.15;340.25;6.992
34;August;fine;6534.16;363.79;7.04
65;August;fine;6512.16;334.97;7.011
77;June;fine;3839.83;209.96;4.04
109;June;fine;3903.23;189.9;3.992
274;June;fine;3837.81;166.75;3.963
255;June;fine;3792.86;179.86;4.023
245;June;fine;3269.96;186.85;4.02
161;June;fine;3814.01;203.46;3.986
175;June;fine;3507.47;192.29;3.975
253;June;fine;3856.63;172.76;4.025
86;June;fine;3864.41;205.2;4.036
220;June;fine;3836.87;176.88;3.995
121;June;fine;3847.36;172.25;4.017
7;September;fine;6659.56;348.31;6.980
8;September;fine;6570.66;354.48;7.046
21;September;fine;6502.62;365.27;7.000
39;September;fine;6656.59;326.73;7.035
76;September;fine;6507.44;357.82;7.050
81;September;fine;6577.62;334.23;7.050
87;September;fine;6083.22;288.52;7.019
88;September;fine;6562.12;328.64;7.050
131;September;fine;6625.61;343.6;6.966
140;September;fine;6967.95;367.53;6.956
216;September;fine;6548.81;335.52;6.956
15;September;coarse;6584.58;336.78;6.999
45;September;coarse;6559.11;366.68;7.012
47;September;coarse;6574.15;338.42;7.008
52;September;coarse;6561.91;334.27;7.000
58;September;coarse;6591.79;328;7.002
61;September;coarse;6611.84;354.78;7.032
82;September;coarse;6621.48;339.36;6.987
101;September;coarse;6524.8;349.09;7.006
112;September;coarse;6389.98;324.21;6.979
124;September;coarse;6496.96;352.55;6.956
162;September;coarse;6605.38;369.54;7.028
169;September;coarse;6519.39;317.37;6.976
180;September;coarse;6490.94;328.18;6.977
192;September;coarse;6484.55;314.11;6.999
195;September;coarse;6622.78;339.92;7.026
209;September;coarse;6494.41;351.6;6.971
