stream;treatment;time.point;squares_total;squares_examined;filtered_volume;Alatospora acuminata;Alatospora fustiformis;Alatospora pulchella;Anguillospora crassa;Anguillospora filiformis;Anguillospora furtiva;Anguillospora longissima;Anguillospora rosea;Anguillospora spec.;Articulospora tetracladia;Campylospora chaetocladia;Clavariopsis aquatica;Clavatospora longibrachiata;Culicidospora aquatica;Culicidospora gravida;Culicidospora spec.;Cylindrocarpon aquaticum;Flagellospora curta;Flagellospora curvula;Flagellospora fusarioides;Fontanospora eccentrica;Fusarium spec.;Heliscus lugdunensis;Heliscus tentaculus;Lemoniera aquatica;Lemoniera centrosphaera;Lemoniera pseudofloscula;Lemoniera sp.;Lemoniera terrestris;Lunulospora curvula;Lunulospora penicilloides;Mycocentrospora acerina;Mycocentrospora angulata;Mycocentrospora sp. Ined.;Porocladium aquaticum;Pseudoanguillospora prolifera;Pseudoanguillospora stricta;Sigmoidea aurantiaca;Stenocladia neglecta;Tetrachaetum elegans;Tetracladium furcatum;Tetracladium marchalianum;Tetracladium maxiforme;Tetracladium sp.;Tricladium angulatum;Tricladium attenuatum;Tricladium chaetocladium;Tricladium curvisporum;Tricladium sp.;Tricladium splendens;Tumularia aquatica;Unknown_A;Unknown_B;Unknown_C;Unknown_D;Unknown_E;Unknown_F
Dierbach;forest;April;107;9;3;33;0;9;0;0;7;4;5;0;16;0;2;16;0;0;0;2;0;85;13;36;0;49;0;0;0;1;0;0;0;0;1;0;0;0;0;2;6;0;10;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0
Dierbach;move;April;107;6;3;50;0;1;0;0;7;7;14;0;6;0;1;17;5;1;0;0;0;110;6;66;0;2;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2;4;0;1;0;0;0;0
Dierbach;vine;April;107;8;3;34;0;0;0;0;1;2;0;0;2;0;10;31;0;0;0;0;0;229;5;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;3;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hainbach;forest;April;107;10;3;55;0;0;0;0;0;3;5;0;13;0;16;9;5;0;0;0;0;93;6;2;0;32;0;0;0;0;0;2;0;0;0;3;0;0;0;4;14;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
Hainbach;move;April;107;19;3;31;0;0;0;0;2;6;8;0;1;0;10;62;3;0;0;0;0;58;12;6;0;6;0;0;0;0;0;1;0;0;1;3;0;0;0;0;2;0;12;0;3;0;0;0;0;0;0;0;0;1;1;4;0;0;0;0
Hainbach;vine;April;107;10;3;25;0;1;0;0;1;0;6;0;0;0;14;28;0;0;0;1;0;102;1;2;0;13;0;0;0;0;0;4;0;0;0;0;0;0;0;1;2;0;1;0;3;0;0;0;0;0;0;1;0;3;3;4;0;0;0;0
Isenach;forest;April;107;10;3;64;0;0;0;0;0;7;4;0;8;0;3;2;4;0;0;0;0;68;10;0;0;0;0;0;0;3;0;2;0;0;0;2;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0
Isenach;move;April;107;10;3;42;0;0;0;0;0;0;2;0;14;0;1;37;0;0;0;2;0;8;5;8;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
Isenach;vine;April;107;9;3;111;0;0;0;0;5;2;13;0;3;0;10;71;1;0;0;0;0;50;7;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;4;0;12;0;21;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0
Kaiserbach;forest;April;107;10;3;23;0;0;0;0;0;0;0;0;4;0;9;29;0;0;0;0;0;132;1;13;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;20;2;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
