,Kingdom,Phylum,Class,Order,Family,Genus,Species,AQH
ASV100,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lemonniera,s__centrosphaera,Y
ASV1011,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV1027,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV1042,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Cudoniella,NA,Y
ASV1048,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Filosporella,s__annelidica,Y
ASV1049,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV1054,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Dimorphospora,NA,Y
ASV1056,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV1057,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Alatospora,s__acuminata,Y
ASV1073,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV1078,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV1093,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Gyoerffyella,s__entomobryoides,Y
ASV11,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Lemonniera,s__centrosphaera,Y
ASV110,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tetracladium,s__marchalianum,Y
ASV111,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Anguillospora,s__longissima,Y
ASV1129,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Tricladium,s__angulatum,Y
